"quadrat","total_trees_5","total_trees_10","total_trees_15","total_trees_20","total_trees_30","total_trees_40","total_trees_50","total_trees_3","total_basal_3","total_basal_5","total_basal_10","total_basal_15","total_basal_20","total_basal_30","total_basal_40","total_basal_50"
90,0,9,15,23,46,87,121,0,0,0,1513.42424822872,3998.94699449485,5646.13301464515,11269.0660132358,17874.5476234273,25787.8762249545
91,2,6,11,22,43,78,121,1,28.7274672280871,316.162090226766,2096.71517803978,2227.44902716904,5396.76825403405,9694.83343589996,16528.6506640718,27306.1196848601
92,0,4,10,16,36,72,113,0,0,0,872.251848713994,2677.15564282007,4417.59929764979,13959.3113543505,17915.2801480128,27528.1654994894
93,0,7,15,25,52,88,133,0,0,0,478.088716652606,2764.42905163923,4162.14447314128,11531.9995285202,24440.6479345001,36423.8453604881
94,3,9,15,22,51,81,136,1,477.962188472848,1170.13419795194,3064.62710529916,6915.40084777546,9711.65690915949,20360.412552821,36192.3425591402,53267.1843400136
95,0,3,9,16,39,70,123,0,0,0,785.475003317285,1722.34216737716,7839.60484878822,12862.5030217798,24417.3691367487,45136.7286073732
96,1,6,12,29,58,94,128,0,0,29.3354391106981,209.199623397711,3180.39561512949,8091.93148289026,14458.6003051976,20961.8177024801,32362.5366846415
97,0,2,10,16,42,73,112,0,0,0,68.7867664043171,732.196294567842,2419.04372653664,10001.7398704112,22338.4228123305,32519.0607965241
98,1,6,11,24,47,89,124,0,0,62.388737692023,1365.72050329229,6658.83591753888,10452.9138946375,16128.6083484126,32562.4774692249,42986.2238332167
99,2,5,15,27,57,93,121,0,0,180.546163218162,1596.77767079952,4059.28899961871,7734.37637506415,18745.740295995,31708.9637277358,45559.6104531408
100,2,8,12,19,42,79,115,1,1530.88672858476,1658.21068305828,3418.27655082179,5179.27984120012,6473.5787680052,20684.1997563713,38874.7527024064,54712.1838993335
101,2,3,4,14,28,57,99,1,56.7299836903906,1109.14204488555,1812.28858346554,2315.23809800382,4508.2627067568,8280.65661863391,23029.0621597076,34780.322291353
102,0,0,1,9,29,61,103,0,0,0,0,20.3718327157626,2651.10357018536,9545.46970490707,26458.2615142738,37417.5157195122
103,1,2,7,18,46,69,104,0,0,181.061825233779,338.645113262642,2173.04986762023,6202.11852664465,20117.0320180702,27807.8548471825,44434.7224139605
104,0,2,4,11,33,56,98,0,0,0,1428.81191005806,2529.88559510356,4593.15754495145,10916.5306523148,22915.3125303304,31798.765312826
105,0,6,15,24,52,79,133,0,0,0,669.82665546899,2079.95377520806,5785.94506172837,14340.8487247764,23545.6226049791,47517.3865489603
106,3,5,10,17,38,77,129,1,60.1804628566229,2059.8031678632,2644.29969636818,5600.24944032647,6720.02223963585,17320.8332524657,29016.5833230596,52614.9737494207
107,1,8,14,29,59,97,133,0,0,325.949323452202,1672.63648710013,3588.44819907451,8947.28983016976,12971.484369062,21402.0203807044,31294.9141855351
108,2,6,9,21,56,89,147,1,30.2593335553466,51.6624903023447,583.601281950094,780.475946554768,3700.94925792316,9300.92574752223,16412.2495133427,26426.8570609029
109,2,8,17,35,62,103,145,1,484.149336885546,509.932437666433,2011.11926232082,2882.69947717496,12193.2851339682,19608.0783833038,31020.4888875847,39049.1316115798
110,1,4,16,25,60,89,141,1,91.9915571071155,91.9915571071155,1372.7113841676,4791.48608996127,5814.458465558,14979.0648212232,23929.372229114,45619.549000484
111,0,1,8,14,34,59,98,0,0,0,20.3718327157626,1093.42867735409,2178.71339627016,12914.5291811271,21932.6962778787,33049.9077852623
112,2,3,8,13,25,47,78,0,0,1836.32973339429,2217.39759673808,6271.50132831085,8861.45597781087,15293.901150774,18413.6690776568,32776.8289381305
113,1,5,12,21,45,82,121,0,0,47.7663772954551,2016.0753472487,2643.04157654304,6099.32910242347,13945.5842405088,35060.6824771313,52793.8272998191
114,0,3,12,22,55,96,141,0,0,0,570.610259720218,6852.24418748301,11650.9933132723,21084.335973447,35601.3819526215,57087.9613545906
115,0,2,4,7,23,43,75,0,0,0,321.73808365799,2053.14412504423,3496.82031101236,8914.19196820437,12829.4799626377,24257.4112569689
116,2,6,11,16,39,59,84,0,0,657.835126281731,1798.82168795582,9166.1167360751,11786.5495571772,18119.1098836306,23018.1170742711,31372.4608400072
117,1,2,8,10,19,48,84,0,0,258.547205052784,320.935942744807,4100.66371439959,6462.99178119073,10264.1967166411,19870.1651942909,38020.6596369245
